"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1455","ASV929",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1456","ASV1724",0.158099232463389,0.640451744940037,0.530944946550893,16,-0.333378077260507,0.582010093337036,"Pearson's product-moment correlation","two.sided"
"1457","ASV208",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1458","ASV1500",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1459","ASV465",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1460","ASV65",0.357299729965801,1.53020831226242,0.145495033646416,16,-0.131507434320003,0.706342936355601,"Pearson's product-moment correlation","two.sided"
"1461","ASV1737",-0.120443017699408,-0.485304973410933,0.634038183176906,16,-0.556045938439799,0.367067729768393,"Pearson's product-moment correlation","two.sided"
"1462","ASV1544",0.28892224784522,1.20717177036861,0.244910066958456,16,-0.205693670408537,0.665961359089072,"Pearson's product-moment correlation","two.sided"
"1463","ASV570",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1464","ASV312",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1465","ASV1582",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1466","ASV1712",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1467","ASV577",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1468","ASV1244",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1469","ASV648",0.560663945390758,2.7083793799513,0.0155035515868224,16,0.127050170964116,0.814367458979026,"Pearson's product-moment correlation","two.sided"
"1470","ASV661",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1471","ASV1663",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1472","ASV109",-0.0128065277287622,-0.0512303121561226,0.959776133640011,16,-0.476825668087942,0.456794714467721,"Pearson's product-moment correlation","two.sided"
"1473","ASV951",0.28892224784522,1.20717177036861,0.244910066958456,16,-0.205693670408537,0.665961359089072,"Pearson's product-moment correlation","two.sided"
"1474","ASV93",-0.244122052258102,-1.00695409391705,0.328943431096366,16,-0.638248814716107,0.251401020424508,"Pearson's product-moment correlation","two.sided"
"1475","ASV119",-0.0602535334742405,-0.24145282826123,0.812271322303421,16,-0.512701033981503,0.418385976868103,"Pearson's product-moment correlation","two.sided"
"1476","ASV993",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1477","ASV1731",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1478","ASV822",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1479","ASV1464",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1480","ASV1763",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1481","ASV998",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
